frame_id,x,y,z,yaw,pitch,roll
00000000,0.006403,-0.011274,0.015802,0.450636,159.223572,-92.767876
00000001,0.005945,-0.012425,0.015954,0.976065,159.166809,-92.771523
00000002,-0.000813,-0.020202,0.015218,2.388985,159.236801,-92.961945
00000003,-0.011510,-0.032578,0.015175,4.571750,159.180222,-93.337517
00000004,-0.021494,-0.046998,0.015428,7.014272,159.059982,-93.796906
00000005,-0.033048,-0.063052,0.016910,10.133988,159.030731,-94.395126
00000006,-0.048214,-0.077050,0.019275,12.931069,158.703476,-94.992950
00000007,-0.066409,-0.093545,0.020252,15.813932,158.540726,-95.562004
00000008,-0.075519,-0.114018,0.025199,19.287560,157.575378,-96.386391
00000009,-0.072109,-0.131566,0.029499,22.301361,156.831757,-97.210648
00000010,-0.083415,-0.147235,0.031818,25.510281,156.347473,-97.986465
00000011,-0.098947,-0.162529,0.031903,28.803976,155.858307,-98.742188
00000012,-0.116568,-0.179521,0.032084,32.358406,155.210617,-99.708450
00000013,-0.138961,-0.197644,0.033415,37.052845,154.013031,-101.182159
00000014,-0.156251,-0.219139,0.032927,41.111450,152.869522,-102.842094
00000015,-0.151359,-0.244553,0.030010,44.369335,152.117126,-104.173645
00000016,-0.177757,-0.260052,0.032071,49.273834,149.745636,-106.334511
00000017,-0.201716,-0.268509,0.032677,52.649902,148.572632,-108.297188
00000018,-0.227494,-0.285779,0.036092,56.331017,146.103241,-110.914642
00000019,-0.260274,-0.300622,0.036841,60.955231,142.397034,-115.166473
00000020,-0.295278,-0.307382,0.037786,65.766136,136.465164,-121.574051
00000021,-0.332496,-0.314411,0.037029,69.412399,129.879898,-128.695587
00000022,-0.345374,-0.322684,0.037357,71.352272,124.832108,-133.849930
00000023,-0.369204,-0.321262,0.034932,73.338646,118.318687,-141.040253
00000024,-0.391442,-0.324722,0.032831,74.937691,109.350937,-150.078125
00000025,-0.401923,-0.323154,0.032967,75.813705,102.610229,-156.510834
00000026,-0.407895,-0.318516,0.034342,76.253052,98.707268,-160.544250
00000027,-0.424597,-0.323790,0.036436,76.645065,92.865021,-166.060013
00000028,-0.438734,-0.323523,0.035444,77.012650,84.883301,-174.379211
00000029,-0.456522,-0.323770,0.036548,76.945305,75.628609,176.149139
00000030,-0.477472,-0.321881,0.034929,76.450539,62.453728,162.808670
00000031,-0.502827,-0.313831,0.034704,74.890152,48.936050,148.674072
00000032,-0.533037,-0.306879,0.033338,72.200798,36.774406,136.041016
00000033,-0.552110,-0.292700,0.033745,68.777840,28.431772,126.522797
00000034,-0.580687,-0.277633,0.034432,64.938469,22.310057,120.248497
00000035,-0.596529,-0.271645,0.032630,62.160179,19.039873,117.390793
00000036,-0.599718,-0.273022,0.033120,62.249142,18.703423,117.707413
00000037,-0.597747,-0.273998,0.033817,62.810234,19.669928,119.432907
00000038,-0.591842,-0.274252,0.035222,65.523163,21.086996,123.008812
00000039,-0.562878,-0.241059,0.050351,62.703876,19.979366,122.506737
00000040,-0.530155,-0.180425,0.073245,66.015427,22.755674,127.995735
00000041,-0.485047,-0.076247,0.095995,65.621468,21.748543,129.501678
00000042,-0.443498,0.061491,0.092280,67.407242,23.711037,134.350983
00000043,-0.404037,0.179737,0.085896,68.044792,23.438530,135.773651
00000044,-0.360915,0.258430,0.077463,68.991211,20.772608,134.771484
00000045,-0.311656,0.343689,0.064596,67.292282,14.187766,129.643829
00000046,-0.297497,0.414267,0.054337,65.611275,10.790257,127.299782
00000047,-0.319955,0.488739,0.048255,66.455391,12.649639,128.960632
00000048,-0.341580,0.576569,0.030798,70.739670,23.701908,142.554871
00000049,-0.299980,0.693047,0.022819,74.447983,33.377506,153.510620
00000050,-0.234848,0.812266,0.022181,74.022690,28.999157,149.928452
00000051,-0.209169,0.923903,0.042691,74.156784,38.250744,157.600952
00000052,-0.202374,1.016829,0.053425,74.670212,64.496094,-176.662125
00000053,-0.203588,1.106841,0.064336,74.589142,83.575333,-157.006165
00000054,-0.177020,1.216713,0.059584,74.667183,85.864212,-153.998108
00000055,-0.160441,1.322103,0.038603,73.257286,79.663803,-156.181030
00000056,-0.183483,1.396679,0.009329,70.645737,90.479240,-142.240692
00000057,-0.200385,1.467329,-0.014908,67.684311,98.923622,-129.337418
00000058,-0.188617,1.516850,-0.062502,66.051056,97.356430,-124.411255
00000059,-0.171685,1.577510,-0.100303,66.162048,91.708862,-125.973976
00000060,-0.154628,1.675856,-0.110215,70.202095,84.881729,-132.109818
00000061,-0.142282,1.766867,-0.061434,69.628845,89.138634,-133.569153
00000062,-0.160066,1.838509,-0.010707,67.331108,99.979088,-131.007843
00000063,-0.183211,1.919003,0.049500,66.194107,112.660896,-125.113358
00000064,-0.160086,1.985948,0.091209,68.484955,113.298988,-129.311569
00000065,-0.050936,2.066047,0.126083,76.538849,88.044411,-161.838806
00000066,-0.007015,2.148315,0.185495,76.697281,82.128548,-176.757492
00000067,-0.015453,2.198636,0.204800,76.660393,92.186401,-172.079376
00000068,0.012983,2.243680,0.207040,75.594582,85.088562,-179.753510
00000069,0.086257,2.260949,0.168435,75.135262,47.536095,148.194824
00000070,0.178886,2.301100,0.109606,67.846848,11.501983,121.870544
00000071,0.204928,2.346306,0.074903,65.237450,7.173378,124.111916
00000072,0.237565,2.376171,0.050342,65.450020,3.914474,124.475060
00000073,0.300922,2.379287,0.052045,62.936226,-3.020584,116.080269
00000074,0.387374,2.387175,0.035333,52.294670,-16.166248,103.695854
00000075,0.447947,2.415192,0.036895,44.340164,-17.625410,104.118469
00000076,0.517269,2.477137,0.033119,41.069115,-18.789858,103.822113
00000077,0.599661,2.552503,0.031437,41.708458,-19.895981,102.811676
00000078,0.691260,2.600811,0.024868,42.286991,-21.268076,101.538300
00000079,0.800843,2.630275,0.038159,37.975716,-20.614290,101.005432
00000080,0.896895,2.662361,0.060659,33.832016,-18.140718,101.287979
00000081,0.938175,2.705939,0.060500,34.093494,-17.574461,100.681580
00000082,0.988834,2.769634,0.066153,37.073521,-16.492149,100.436363
00000083,1.058210,2.809347,0.088912,37.629589,-14.486262,99.250854
00000084,1.159240,2.815138,0.103924,34.012928,-14.346285,98.460365
00000085,1.250770,2.843910,0.101046,31.677759,-13.144499,98.319412
00000086,1.272913,2.885068,0.101322,32.653973,-13.206244,98.243767
00000087,1.301383,2.935788,0.114080,34.343559,-12.921536,97.670334
00000088,1.323613,2.960155,0.118288,35.536930,-11.764839,97.627388
